question_number,elapsed_time,is_correct,question_id,_id,demographics.age,demographics.csBackground,demographics.yearsOfExperience
0,4269,True,camelCase,674f7c17775bbb687eb28202,26,False,0
1,3558,True,kebab-case,674f7c17775bbb687eb28202,26,False,0
10,5546,True,kebab-case,674f7c17775bbb687eb28202,26,False,0
11,4663,True,kebab-case,674f7c17775bbb687eb28202,26,False,0
12,2030,True,camelCase,674f7c17775bbb687eb28202,26,False,0
13,2784,True,kebab-case,674f7c17775bbb687eb28202,26,False,0
14,3778,True,camelCase,674f7c17775bbb687eb28202,26,False,0
15,2566,True,kebab-case,674f7c17775bbb687eb28202,26,False,0
16,3458,True,kebab-case,674f7c17775bbb687eb28202,26,False,0
17,2549,True,camelCase,674f7c17775bbb687eb28202,26,False,0
18,4027,True,camelCase,674f7c17775bbb687eb28202,26,False,0
19,3331,True,camelCase,674f7c17775bbb687eb28202,26,False,0
2,3186,True,kebab-case,674f7c17775bbb687eb28202,26,False,0
3,2344,True,camelCase,674f7c17775bbb687eb28202,26,False,0
4,3831,True,kebab-case,674f7c17775bbb687eb28202,26,False,0
5,10435,False,kebab-case,674f7c17775bbb687eb28202,26,False,0
6,4381,True,camelCase,674f7c17775bbb687eb28202,26,False,0
7,4296,True,camelCase,674f7c17775bbb687eb28202,26,False,0
8,4529,True,kebab-case,674f7c17775bbb687eb28202,26,False,0
9,4780,True,camelCase,674f7c17775bbb687eb28202,26,False,0
0,15129,True,camelCase,674f7c18775bbb687eb28203,25,False,0
1,7131,True,kebab-case,674f7c18775bbb687eb28203,25,False,0
10,7977,True,kebab-case,674f7c18775bbb687eb28203,25,False,0
11,5412,True,kebab-case,674f7c18775bbb687eb28203,25,False,0
12,2680,True,camelCase,674f7c18775bbb687eb28203,25,False,0
13,8973,False,kebab-case,674f7c18775bbb687eb28203,25,False,0
14,9006,True,camelCase,674f7c18775bbb687eb28203,25,False,0
15,7725,True,kebab-case,674f7c18775bbb687eb28203,25,False,0
16,4286,True,kebab-case,674f7c18775bbb687eb28203,25,False,0
17,8150,True,camelCase,674f7c18775bbb687eb28203,25,False,0
18,3904,True,camelCase,674f7c18775bbb687eb28203,25,False,0
19,5825,True,camelCase,674f7c18775bbb687eb28203,25,False,0
2,6846,True,kebab-case,674f7c18775bbb687eb28203,25,False,0
3,6428,True,camelCase,674f7c18775bbb687eb28203,25,False,0
4,10554,True,kebab-case,674f7c18775bbb687eb28203,25,False,0
5,6808,True,kebab-case,674f7c18775bbb687eb28203,25,False,0
6,4201,True,camelCase,674f7c18775bbb687eb28203,25,False,0
7,3904,True,camelCase,674f7c18775bbb687eb28203,25,False,0
8,4720,True,kebab-case,674f7c18775bbb687eb28203,25,False,0
9,4885,True,camelCase,674f7c18775bbb687eb28203,25,False,0
0,8789,True,camelCase,674f7ce3775bbb687eb28204,26,False,0
1,10994,True,kebab-case,674f7ce3775bbb687eb28204,26,False,0
10,12152,True,kebab-case,674f7ce3775bbb687eb28204,26,False,0
11,4011,True,kebab-case,674f7ce3775bbb687eb28204,26,False,0
12,6515,True,camelCase,674f7ce3775bbb687eb28204,26,False,0
13,3287,True,kebab-case,674f7ce3775bbb687eb28204,26,False,0
14,5804,True,camelCase,674f7ce3775bbb687eb28204,26,False,0
15,5864,True,kebab-case,674f7ce3775bbb687eb28204,26,False,0
16,6610,True,kebab-case,674f7ce3775bbb687eb28204,26,False,0
17,3952,True,camelCase,674f7ce3775bbb687eb28204,26,False,0
18,6332,True,camelCase,674f7ce3775bbb687eb28204,26,False,0
19,5234,True,camelCase,674f7ce3775bbb687eb28204,26,False,0
2,9798,True,kebab-case,674f7ce3775bbb687eb28204,26,False,0
3,4331,True,camelCase,674f7ce3775bbb687eb28204,26,False,0
4,6541,True,kebab-case,674f7ce3775bbb687eb28204,26,False,0
5,8143,True,kebab-case,674f7ce3775bbb687eb28204,26,False,0
6,7261,True,camelCase,674f7ce3775bbb687eb28204,26,False,0
7,2922,True,camelCase,674f7ce3775bbb687eb28204,26,False,0
8,4979,True,kebab-case,674f7ce3775bbb687eb28204,26,False,0
9,11797,True,camelCase,674f7ce3775bbb687eb28204,26,False,0
0,9673,True,camelCase,674f96911ee015438d753550,58,False,0
1,9995,True,kebab-case,674f96911ee015438d753550,58,False,0
10,20245,True,kebab-case,674f96911ee015438d753550,58,False,0
11,5578,True,kebab-case,674f96911ee015438d753550,58,False,0
12,4744,True,camelCase,674f96911ee015438d753550,58,False,0
13,6009,True,kebab-case,674f96911ee015438d753550,58,False,0
14,10030,True,camelCase,674f96911ee015438d753550,58,False,0
15,14978,True,kebab-case,674f96911ee015438d753550,58,False,0
16,7795,True,kebab-case,674f96911ee015438d753550,58,False,0
17,7311,True,camelCase,674f96911ee015438d753550,58,False,0
18,13030,True,camelCase,674f96911ee015438d753550,58,False,0
19,7278,True,camelCase,674f96911ee015438d753550,58,False,0
2,10213,False,kebab-case,674f96911ee015438d753550,58,False,0
3,5078,True,camelCase,674f96911ee015438d753550,58,False,0
4,7279,True,kebab-case,674f96911ee015438d753550,58,False,0
5,18944,True,kebab-case,674f96911ee015438d753550,58,False,0
6,7613,True,camelCase,674f96911ee015438d753550,58,False,0
7,6427,True,camelCase,674f96911ee015438d753550,58,False,0
8,10361,True,kebab-case,674f96911ee015438d753550,58,False,0
9,4897,True,camelCase,674f96911ee015438d753550,58,False,0
0,5527,True,camelCase,674ffc91dee2829cb5d73915,20,False,0
1,4293,True,kebab-case,674ffc91dee2829cb5d73915,20,False,0
10,6042,True,kebab-case,674ffc91dee2829cb5d73915,20,False,0
11,2678,False,kebab-case,674ffc91dee2829cb5d73915,20,False,0
12,3598,True,camelCase,674ffc91dee2829cb5d73915,20,False,0
13,3431,True,kebab-case,674ffc91dee2829cb5d73915,20,False,0
14,7812,True,camelCase,674ffc91dee2829cb5d73915,20,False,0
15,4381,True,kebab-case,674ffc91dee2829cb5d73915,20,False,0
16,4293,True,kebab-case,674ffc91dee2829cb5d73915,20,False,0
17,3414,True,camelCase,674ffc91dee2829cb5d73915,20,False,0
18,2097,False,camelCase,674ffc91dee2829cb5d73915,20,False,0
19,4366,True,camelCase,674ffc91dee2829cb5d73915,20,False,0
2,4240,True,kebab-case,674ffc91dee2829cb5d73915,20,False,0
3,3848,True,camelCase,674ffc91dee2829cb5d73915,20,False,0
4,4071,True,kebab-case,674ffc91dee2829cb5d73915,20,False,0
5,14304,False,kebab-case,674ffc91dee2829cb5d73915,20,False,0
6,3756,True,camelCase,674ffc91dee2829cb5d73915,20,False,0
7,5829,True,camelCase,674ffc91dee2829cb5d73915,20,False,0
8,4430,True,kebab-case,674ffc91dee2829cb5d73915,20,False,0
9,4573,True,camelCase,674ffc91dee2829cb5d73915,20,False,0
0,3744,True,camelCase,6750039cb3c0bd60a05422e2,20,False,0
1,3624,True,kebab-case,6750039cb3c0bd60a05422e2,20,False,0
10,2325,True,kebab-case,6750039cb3c0bd60a05422e2,20,False,0
11,2940,True,kebab-case,6750039cb3c0bd60a05422e2,20,False,0
12,3008,True,camelCase,6750039cb3c0bd60a05422e2,20,False,0
13,1943,True,kebab-case,6750039cb3c0bd60a05422e2,20,False,0
14,2368,True,camelCase,6750039cb3c0bd60a05422e2,20,False,0
15,2693,True,kebab-case,6750039cb3c0bd60a05422e2,20,False,0
16,2928,True,kebab-case,6750039cb3c0bd60a05422e2,20,False,0
17,1919,True,camelCase,6750039cb3c0bd60a05422e2,20,False,0
18,2277,True,camelCase,6750039cb3c0bd60a05422e2,20,False,0
19,2257,True,camelCase,6750039cb3c0bd60a05422e2,20,False,0
2,2873,True,kebab-case,6750039cb3c0bd60a05422e2,20,False,0
3,1873,True,camelCase,6750039cb3c0bd60a05422e2,20,False,0
4,2040,True,kebab-case,6750039cb3c0bd60a05422e2,20,False,0
5,2853,True,kebab-case,6750039cb3c0bd60a05422e2,20,False,0
6,1744,True,camelCase,6750039cb3c0bd60a05422e2,20,False,0
7,2558,True,camelCase,6750039cb3c0bd60a05422e2,20,False,0
8,1771,True,kebab-case,6750039cb3c0bd60a05422e2,20,False,0
9,1976,True,camelCase,6750039cb3c0bd60a05422e2,20,False,0
0,5089,True,camelCase,67500d7657900f8273aff8e8,26,False,0
1,4400,True,kebab-case,67500d7657900f8273aff8e8,26,False,0
10,7686,True,kebab-case,67500d7657900f8273aff8e8,26,False,0
11,5136,True,kebab-case,67500d7657900f8273aff8e8,26,False,0
12,6900,True,camelCase,67500d7657900f8273aff8e8,26,False,0
13,5223,True,kebab-case,67500d7657900f8273aff8e8,26,False,0
14,6103,True,camelCase,67500d7657900f8273aff8e8,26,False,0
15,4926,True,kebab-case,67500d7657900f8273aff8e8,26,False,0
16,3018,False,kebab-case,67500d7657900f8273aff8e8,26,False,0
17,5544,True,camelCase,67500d7657900f8273aff8e8,26,False,0
18,4656,False,camelCase,67500d7657900f8273aff8e8,26,False,0
