question_number,elapsed_time,is_correct,question_id,_id,demographics.age,demographics.csBackground,demographics.yearsOfExperience
0,2426,True,camelCase,674f758f21997cc708e5bb75,24,True,2
1,2434,True,kebab-case,674f758f21997cc708e5bb75,24,True,2
10,2496,True,kebab-case,674f758f21997cc708e5bb75,24,True,2
11,4806,True,kebab-case,674f758f21997cc708e5bb75,24,True,2
12,2048,True,camelCase,674f758f21997cc708e5bb75,24,True,2
13,2612,True,kebab-case,674f758f21997cc708e5bb75,24,True,2
14,1910,False,camelCase,674f758f21997cc708e5bb75,24,True,2
15,2586,False,kebab-case,674f758f21997cc708e5bb75,24,True,2
16,4319,True,kebab-case,674f758f21997cc708e5bb75,24,True,2
17,2646,True,camelCase,674f758f21997cc708e5bb75,24,True,2
18,3759,False,camelCase,674f758f21997cc708e5bb75,24,True,2
19,3859,True,camelCase,674f758f21997cc708e5bb75,24,True,2
2,2409,True,kebab-case,674f758f21997cc708e5bb75,24,True,2
3,2416,True,camelCase,674f758f21997cc708e5bb75,24,True,2
4,2050,True,kebab-case,674f758f21997cc708e5bb75,24,True,2
5,1826,False,kebab-case,674f758f21997cc708e5bb75,24,True,2
6,3013,False,camelCase,674f758f21997cc708e5bb75,24,True,2
7,3201,True,camelCase,674f758f21997cc708e5bb75,24,True,2
8,1896,True,kebab-case,674f758f21997cc708e5bb75,24,True,2
9,2117,True,camelCase,674f758f21997cc708e5bb75,24,True,2
0,2286,True,camelCase,674f7922e95702b59982bf91,25,True,2
1,2431,True,kebab-case,674f7922e95702b59982bf91,25,True,2
10,1556,False,kebab-case,674f7922e95702b59982bf91,25,True,2
11,3423,False,kebab-case,674f7922e95702b59982bf91,25,True,2
12,2041,True,camelCase,674f7922e95702b59982bf91,25,True,2
13,4038,True,kebab-case,674f7922e95702b59982bf91,25,True,2
14,1474,False,camelCase,674f7922e95702b59982bf91,25,True,2
15,2506,True,kebab-case,674f7922e95702b59982bf91,25,True,2
16,4903,True,kebab-case,674f7922e95702b59982bf91,25,True,2
17,2443,True,camelCase,674f7922e95702b59982bf91,25,True,2
18,2938,True,camelCase,674f7922e95702b59982bf91,25,True,2
19,2490,True,camelCase,674f7922e95702b59982bf91,25,True,2
2,2167,True,kebab-case,674f7922e95702b59982bf91,25,True,2
3,1607,True,camelCase,674f7922e95702b59982bf91,25,True,2
4,2100,True,kebab-case,674f7922e95702b59982bf91,25,True,2
5,1956,False,kebab-case,674f7922e95702b59982bf91,25,True,2
6,5162,True,camelCase,674f7922e95702b59982bf91,25,True,2
7,3239,True,camelCase,674f7922e95702b59982bf91,25,True,2
8,3038,True,kebab-case,674f7922e95702b59982bf91,25,True,2
9,1590,True,camelCase,674f7922e95702b59982bf91,25,True,2
0,6971,True,camelCase,674f7a6de95702b59982bf92,22,True,2
1,5840,True,kebab-case,674f7a6de95702b59982bf92,22,True,2
10,3842,True,kebab-case,674f7a6de95702b59982bf92,22,True,2
11,3842,True,kebab-case,674f7a6de95702b59982bf92,22,True,2
12,2345,True,camelCase,674f7a6de95702b59982bf92,22,True,2
13,2076,True,kebab-case,674f7a6de95702b59982bf92,22,True,2
14,3343,True,camelCase,674f7a6de95702b59982bf92,22,True,2
15,2227,False,kebab-case,674f7a6de95702b59982bf92,22,True,2
16,4892,False,kebab-case,674f7a6de95702b59982bf92,22,True,2
17,3640,True,camelCase,674f7a6de95702b59982bf92,22,True,2
18,3244,False,camelCase,674f7a6de95702b59982bf92,22,True,2
19,14765,True,camelCase,674f7a6de95702b59982bf92,22,True,2
2,3841,True,kebab-case,674f7a6de95702b59982bf92,22,True,2
3,4020,True,camelCase,674f7a6de95702b59982bf92,22,True,2
4,8056,True,kebab-case,674f7a6de95702b59982bf92,22,True,2
5,7875,False,kebab-case,674f7a6de95702b59982bf92,22,True,2
6,4824,True,camelCase,674f7a6de95702b59982bf92,22,True,2
7,3108,True,camelCase,674f7a6de95702b59982bf92,22,True,2
8,4291,True,kebab-case,674f7a6de95702b59982bf92,22,True,2
9,5641,True,camelCase,674f7a6de95702b59982bf92,22,True,2
0,3498,True,camelCase,674f7ac5e95702b59982bf93,22,True,5
1,4196,True,kebab-case,674f7ac5e95702b59982bf93,22,True,5
10,3822,True,kebab-case,674f7ac5e95702b59982bf93,22,True,5
11,1911,True,kebab-case,674f7ac5e95702b59982bf93,22,True,5
12,4031,True,camelCase,674f7ac5e95702b59982bf93,22,True,5
13,3611,True,kebab-case,674f7ac5e95702b59982bf93,22,True,5
14,2865,False,camelCase,674f7ac5e95702b59982bf93,22,True,5
15,3343,True,kebab-case,674f7ac5e95702b59982bf93,22,True,5
16,3629,False,kebab-case,674f7ac5e95702b59982bf93,22,True,5
17,3681,True,camelCase,674f7ac5e95702b59982bf93,22,True,5
18,3246,True,camelCase,674f7ac5e95702b59982bf93,22,True,5
19,3046,True,camelCase,674f7ac5e95702b59982bf93,22,True,5
2,3712,True,kebab-case,674f7ac5e95702b59982bf93,22,True,5
